seq_id	alignment_start	alignment_end	envelope_start	envelope_end	hmm_acc	hmm_name	hmm_start	hmm_end	hmm_length	bit_score	Individual_E_value	Conditional_E_value	database_significant	outcompeted	clan
>evm.model.1.7034	151	229	149	230	PF16759.5	LIG3_BRCT	5	80	81	30.77	2.7e-07	7.6e-11	1	1	CL0459
>evm.model.1.7034	150	224	147	225	PF00533.26	BRCT	4	78	79	28.52	1.5e-06	4.0e-10	1	1	CL0459
>evm.model.2.613	111	175	111	175	PF12738.7	PTCB-BRCT	1	63	63	74.97	3.4e-21	9.4e-25	1	0	CL0459
>evm.model.2.613	109	180	108	180	PF00533.26	BRCT	7	79	79	27.50	3.0e-06	8.4e-10	1	1	CL0459
>evm.model.2.613	917	981	911	982	PF00533.26	BRCT	16	77	79	30.08	4.8e-07	1.3e-10	1	0	CL0459
>evm.model.2.613	1159	1211	1158	1212	PF00628.29	PHD	2	51	52	32.24	7.0e-08	2.0e-11	1	0	CL0390
>evm.model.3.1134	595	704	594	707	PF16589.5	BRCT_2	2	80	85	35.67	8.8e-09	2.9e-12	1	0	CL0459
>evm.model.3.1134	485	560	483	560	PF00533.26	BRCT	9	79	79	32.13	1.1e-07	3.6e-11	1	0	CL0459
>evm.model.3.1134	365	443	365	444	PF13771.6	zf-HC5HC2H	1	89	90	39.08	6.8e-10	2.3e-13	1	0	CL0390
>evm.model.3.1134	31	76	29	77	PF13920.6	zf-C3HC4_3	3	49	50	34.21	1.7e-08	5.6e-12	1	0	CL0229
>evm.model.3.1134	33	58	33	78	PF13445.6	zf-RING_UBOX	1	26	39	30.12	3.5e-07	1.2e-10	1	1	CL0229
>evm.model.3.1134	33	70	33	77	PF00097.25	zf-C3HC4	1	41	41	28.71	8.7e-07	2.9e-10	1	1	CL0229
>evm.model.3.1156	588	697	587	700	PF16589.5	BRCT_2	2	80	85	35.69	8.6e-09	1.9e-12	1	0	CL0459
>evm.model.3.1156	477	552	475	552	PF00533.26	BRCT	9	79	79	34.82	1.6e-08	3.5e-12	1	0	CL0459
>evm.model.3.1156	357	435	357	436	PF13771.6	zf-HC5HC2H	1	89	90	39.10	6.7e-10	1.5e-13	1	0	CL0390
>evm.model.3.1204	791	982	791	983	PF00644.20	PARP	1	185	195	226.18	2.7e-67	1.0e-70	1	0	CL0084
>evm.model.3.1204	1009	1106	1009	1108	PF03195.14	LOB	1	97	99	122.43	9.0e-36	3.5e-39	1	0	
>evm.model.3.1204	647	777	647	777	PF02877.14	PARP_reg	1	136	136	119.24	1.3e-34	5.0e-38	1	0	
>evm.model.3.1204	13	89	13	89	PF00645.18	zf-PARP	1	82	82	63.30	2.9e-17	1.1e-20	1	0	CL0167
>evm.model.3.1204	109	180	109	182	PF00645.18	zf-PARP	1	80	82	54.06	2.2e-14	8.6e-18	1	0	CL0167
>evm.model.3.1204	304	353	303	354	PF08063.12	PADR1	2	52	53	74.06	5.7e-21	2.2e-24	1	0	CL0306
>evm.model.3.1204	536	614	536	616	PF05406.15	WGR	1	78	80	65.78	2.7e-18	1.1e-21	1	0	
>evm.model.3.1204	413	482	407	483	PF00533.26	BRCT	8	78	79	26.07	8.5e-06	3.3e-09	1	0	CL0459
>evm.model.3.1486	7	66	3	66	PF00533.26	BRCT	18	79	79	21.66	0.0002	4.5e-08	1	0	CL0459
>evm.model.3.1486	104	181	102	181	PF00533.26	BRCT	3	79	79	25.31	1.5e-05	3.3e-09	1	0	CL0459
>evm.model.3.1541	143	286	142	334	PF03031.18	NIF	2	131	156	91.55	4.3e-26	7.2e-30	1	0	CL0137
>evm.model.3.1541	353	421	349	423	PF00533.26	BRCT	5	76	79	33.94	3.0e-08	5.0e-12	1	0	CL0459
>evm.model.3.1541	358	419	357	419	PF12738.7	PTCB-BRCT	2	63	63	26.84	3.6e-06	6.0e-10	1	1	CL0459
>evm.model.3.1648	564	641	562	641	PF00533.26	BRCT	3	79	79	22.40	0.00012	2.6e-08	1	0	CL0459
>evm.model.3.1648	134	209	102	209	PF00583.25	Acetyltransf_1	38	117	117	24.92	1.8e-05	4.1e-09	1	0	CL0257
>evm.model.3.1840	143	286	142	334	PF03031.18	NIF	2	131	156	91.55	4.3e-26	7.2e-30	1	0	CL0137
>evm.model.3.1840	353	421	349	423	PF00533.26	BRCT	5	76	79	33.94	3.0e-08	5.0e-12	1	0	CL0459
>evm.model.3.1840	358	419	357	419	PF12738.7	PTCB-BRCT	2	63	63	26.84	3.6e-06	6.0e-10	1	1	CL0459
>evm.model.3.2233	106	168	105	168	PF12738.7	PTCB-BRCT	2	63	63	26.11	6.0e-06	1.3e-09	1	0	CL0459
>evm.model.3.2233	667	728	666	728	PF12738.7	PTCB-BRCT	3	63	63	62.25	3.1e-17	7.0e-21	1	0	CL0459
>evm.model.3.2233	563	646	562	648	PF16589.5	BRCT_2	2	83	85	34.90	1.5e-08	3.4e-12	1	0	CL0459
>evm.model.3.2233	103	172	94	173	PF00533.26	BRCT	7	78	79	25.94	9.3e-06	2.1e-09	1	1	CL0459
>evm.model.4.1000	108	253	107	294	PF03031.18	NIF	2	130	156	86.64	1.4e-24	2.3e-28	1	0	CL0137
>evm.model.4.1000	335	387	322	387	PF12738.7	PTCB-BRCT	11	63	63	30.35	2.9e-07	4.8e-11	1	0	CL0459
>evm.model.4.1000	319	389	318	391	PF00533.26	BRCT	3	76	79	28.63	1.3e-06	2.3e-10	1	1	CL0459
>evm.model.4.27	71	143	69	144	PF00533.26	BRCT	3	78	79	39.73	4.6e-10	5.2e-14	1	0	CL0459
>evm.model.4.27	78	139	77	139	PF12738.7	PTCB-BRCT	2	63	63	28.04	1.5e-06	1.7e-10	1	1	CL0459
>evm.model.4.282	71	143	69	144	PF00533.26	BRCT	3	78	79	39.72	4.6e-10	5.2e-14	1	0	CL0459
>evm.model.4.282	78	139	77	139	PF12738.7	PTCB-BRCT	2	63	63	28.03	1.5e-06	1.7e-10	1	1	CL0459
>evm.model.4.372	226	441	226	441	PF01068.21	DNA_ligase_A_M	1	204	204	143.38	7.0e-42	2.7e-45	1	0	CL0078
>evm.model.4.372	6	186	6	186	PF04675.14	DNA_ligase_A_N	1	173	173	126.09	1.8e-36	6.9e-40	1	0	
>evm.model.4.372	645	728	644	730	PF16589.5	BRCT_2	2	83	85	56.61	2.6e-15	1.0e-18	1	0	CL0459
>evm.model.4.372	465	576	465	576	PF04679.15	DNA_ligase_A_C	1	99	99	53.23	3.4e-14	1.3e-17	1	0	CL0021
>evm.model.4.372	645	717	643	718	PF00533.26	BRCT	3	78	79	33.73	3.5e-08	1.3e-11	1	1	CL0459
>evm.model.4.372	661	706	651	711	PF12738.7	PTCB-BRCT	10	55	63	33.15	3.8e-08	1.5e-11	1	1	CL0459
>evm.model.4.372	245	441	245	441	PF09414.10	RNA_ligase	1	161	161	28.65	1.5e-06	5.7e-10	1	1	CL0078
>evm.model.4.4602	152	230	152	231	PF13771.6	zf-HC5HC2H	1	89	90	45.19	8.4e-12	1.9e-15	1	0	CL0390
>evm.model.4.4602	279	350	272	350	PF00533.26	BRCT	11	79	79	25.35	1.4e-05	3.2e-09	1	0	CL0459
>evm.model.4.4602	150	221	143	239	PF13832.6	zf-HC5HC2H_2	21	95	110	29.85	5.1e-07	1.1e-10	1	1	CL0390
>evm.model.4.72	3	110	1	112	PF01398.21	JAB	3	116	118	85.92	1.9e-24	3.1e-28	1	0	CL0366
>evm.model.4.72	287	370	286	370	PF18110.1	BRCC36_C	2	81	81	81.17	4.6e-23	7.7e-27	1	0	
>evm.model.4.72	10	103	9	126	PF14464.6	Prok-JAB	2	92	118	34.64	1.3e-08	2.1e-12	1	1	CL0366
>evm.model.6.1874	968	1063	967	1070	PF18428.1	BRCT_3	2	94	101	30.63	2.6e-07	4.4e-11	1	0	CL0459
>evm.model.6.575	541	667	541	667	PF09103.10	BRCA-2_OB1	1	123	123	127.11	3.4e-37	5.8e-41	1	0	CL0021
>evm.model.6.575	463	537	460	538	PF09169.10	BRCA-2_helical	111	186	187	67.07	1.6e-18	2.6e-22	1	0	
>evm.model.6.575	92	119	91	122	PF00634.18	BRCA2	3	30	33	21.22	0.00017	2.8e-08	1	0	
>evm.model.6.575	197	224	193	225	PF00634.18	BRCA2	5	32	33	30.24	2.5e-07	4.2e-11	1	0	
>evm.model.8.2802	968	1064	967	1066	PF18428.1	BRCT_3	2	95	101	32.65	6.2e-08	1.0e-11	1	0	CL0459
>evm.model.8.777	4	66	4	66	PF12738.7	PTCB-BRCT	1	63	63	79.87	9.9e-23	4.4e-26	1	0	CL0459
>evm.model.8.777	9	71	2	71	PF00533.26	BRCT	15	79	79	42.63	5.8e-11	2.6e-14	1	1	CL0459
>evm.model.8.777	313	359	312	359	PF13639.6	zf-RING_2	2	44	44	39.15	6.7e-10	3.0e-13	1	0	CL0229
>evm.model.8.777	314	358	314	358	PF00097.25	zf-C3HC4	1	41	41	35.79	5.3e-09	2.4e-12	1	1	CL0229
>evm.model.8.777	311	361	310	365	PF13920.6	zf-C3HC4_3	2	46	50	29.61	4.5e-07	2.0e-10	1	1	CL0229
>evm.model.8.777	314	358	313	358	PF13923.6	zf-C3HC4_2	2	40	40	27.34	2.3e-06	1.0e-09	1	1	CL0229
>evm.model.8.777	314	356	314	358	PF13445.6	zf-RING_UBOX	1	39	39	24.33	2.3e-05	1.0e-08	1	1	CL0229
>evm.model.8.806	4	66	4	66	PF12738.7	PTCB-BRCT	1	63	63	79.87	9.9e-23	4.4e-26	1	0	CL0459
>evm.model.8.806	9	71	2	71	PF00533.26	BRCT	15	79	79	42.63	5.8e-11	2.6e-14	1	1	CL0459
>evm.model.8.806	313	359	312	359	PF13639.6	zf-RING_2	2	44	44	39.15	6.7e-10	3.0e-13	1	0	CL0229
>evm.model.8.806	314	358	314	358	PF00097.25	zf-C3HC4	1	41	41	35.79	5.3e-09	2.4e-12	1	1	CL0229
>evm.model.8.806	311	361	310	365	PF13920.6	zf-C3HC4_3	2	46	50	29.61	4.5e-07	2.0e-10	1	1	CL0229
>evm.model.8.806	314	358	313	358	PF13923.6	zf-C3HC4_2	2	40	40	27.34	2.3e-06	1.0e-09	1	1	CL0229
>evm.model.8.806	314	356	314	358	PF13445.6	zf-RING_UBOX	1	39	39	24.33	2.3e-05	1.0e-08	1	1	CL0229
